Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
8.55,136.8679711,125.6023361,125.2354323,125.3771906,125.9358849,127.295097
8.56,136.9513586,125.7274169,125.2020775,125.4439004,125.8524977,127.2700808
8.57,136.9596974,125.7857879,125.2270936,125.4522391,125.8775139,127.3701455
8.58,137.0514237,125.5939973,125.2437711,125.5022714,125.9108688,127.3284519
8.59,137.0347462,125.694062,125.1854,125.4355616,125.9859173,127.3117744
8.6,136.9930524,125.6773846,125.2270936,125.3771906,126.0025947,127.2450646
8.61,136.9513586,125.5356263,125.1186903,125.4188842,126.0025947,127.3034357
8.62,136.9763749,125.6690458,125.3104808,125.4022068,125.9609011,127.0949676
8.63,136.9680361,125.7274169,125.1437064,125.4939327,125.9525624,127.3034357
8.64,136.9513586,125.6190135,125.2354323,125.5689812,125.8191428,127.2784195
8.65,136.9763749,125.5689812,125.1603839,125.4772552,125.8775139,127.2867583
8.66,136.9513586,125.5189488,125.2187549,125.4605778,125.9442237,127.2450646
8.67,137.1514887,125.4939327,125.1437064,125.4105455,125.994256,127.2700808
8.68,137.0847787,125.694062,125.1687226,125.5689812,125.9442237,127.295097
8.69,136.9596974,125.485594,125.1437064,125.5773199,125.9692398,127.3284519
8.7,136.8763098,125.6690458,125.1687226,125.485594,125.8858526,127.2117097
8.71,136.7178735,125.6273522,125.2104162,125.6106748,125.9525624,127.2700808
8.72,136.9430198,125.694062,125.1437064,125.3771906,125.8941913,127.3201132
8.73,137.0264074,125.6023361,125.2104162,125.5272876,125.8691752,127.295097
8.74,136.9596974,125.6440297,125.1687226,125.3521744,125.9358849,127.3451293
8.75,136.9513586,125.5189488,125.1854,125.3521744,125.9775785,127.2784195
8.76,137.0347462,125.4689165,125.1353677,125.4188842,125.9609011,127.1449999
8.77,137.0514237,125.752433,125.2437711,125.485594,125.9525624,127.295097
8.78,137.0180686,125.7774492,125.1937387,125.4272229,125.9609011,127.295097
8.79,136.8512935,125.7274169,125.2354323,125.543965,125.9358849,127.2784195
8.8,136.834616,125.752433,125.1770613,125.4105455,125.9275462,127.2534034
8.81,136.9513586,125.7691105,125.2270936,125.4689165,125.8608364,127.2784195
8.82,137.0347462,125.7607718,125.2437711,125.3855293,125.9442237,127.3117744
8.83,137.0264074,125.752433,125.2270936,125.5939973,126.052627,127.3284519
8.84,137.0347462,125.5689812,125.2687872,125.5022714,126.0109334,127.3284519
8.85,136.9513586,125.5523037,125.2104162,125.5272876,125.9108688,127.3201132
8.86,136.9263423,125.5939973,125.2687872,125.4355616,125.9609011,127.3701455
8.87,137.0097299,125.6523684,125.2104162,125.3771906,125.9192075,127.3367906
8.88,136.9430198,125.7440943,125.2270936,125.4605778,125.8358203,127.295097
8.89,136.8262773,125.8108041,125.1770613,125.485594,125.9108688,127.3701455
8.9,136.9680361,125.6023361,125.2521098,125.5523037,125.9358849,127.2450646
8.91,136.9513586,125.7774492,125.1854,125.5189488,125.9525624,127.2367259
